City Name,Lowest Price,Average Price,Highest Price,Number of Samples,Price Unit(s),挂牌均价
鞍山,7.0,12.386440677966098,14.0,59,'万',4468
安阳,20.0,25.051666666666666,26.0,60,'万',6339
安庆,15.0,27.46166666666667,30.0,60,'万',8401
安康,11.5,24.766666666666666,27.0,60,'万',5330
安顺,10.0,22.723333333333336,26.5,60,'万',5010
阿坝,36.0,97.79235294117647,230.0,34,'万',暂无数据
阿克苏,11.0,18.498333333333335,22.0,60,'万',4313
https://ali.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
阿拉尔,31.0,41.61052631578948,69.0,19,'万',暂无数据
阿拉尔,31.0,41.61052631578948,69.0,19,'万',暂无数据
安丘,19.8,23.63666666666666,26.0,60,'万',暂无数据
安宁,21.0,28.55,36.0,60,'万',暂无数据
安吉,30.0,54.37366666666666,59.0,60,'万',暂无数据
安溪,58.0,87.84333333333333,95.0,60,'万',暂无数据
林州,22.0,31.60133333333333,36.0,60,'万',暂无数据
安岳,21.5,29.856166666666645,33.8,60,'万',暂无数据
阿勒泰,26.0,34.1765,39.8,60,'万',5459
北京,20.0,21.173000000000002,23.0,60,'万',59102
保定,24.0,33.77,36.5,60,'万',9800
包头,13.5,23.551666666666666,27.0,60,'万',8294
滨州,19.9,25.68833333333333,28.0,60,'万',7795
宝鸡,9.5,18.13633333333333,20.0,60,'万',5350
蚌埠,17.5,24.163166666666662,27.8,60,'万',7472
本溪,5.0,12.846666666666668,15.0,60,'万',5442
北海,24.0,28.236166666666666,30.0,60,'万',6258
巴音郭楞,14.0,16.936666666666653,18.0,60,'万',4397
巴中,15.0,21.535,25.0,60,'万',4840
巴彦淖尔市,10.0,17.618166666666664,20.0,60,'万',5648
亳州,1.8,21.94,27.0,60,'万',6324
白银,15.0,27.32166666666666,30.0,60,'万',5654
白城,12.0,16.515,18.0,60,'万',4675
百色,16.0,25.95,28.8,60,'万',5045
白山,10.5,19.39716666666666,22.8,60,'万',4348
博尔塔拉,11.0,17.651666666666664,20.0,60,'万',3918
毕节,18.8,22.52266666666666,24.8,60,'万',4645
保山,21.0,26.84466666666666,30.0,60,'万',7461
霸州,18.0,21.931333333333335,23.0,60,'万',暂无数据
北票,10.0,18.348333333333336,22.0,60,'万',暂无数据
北流,25.0,44.694,51.8,60,'万',暂无数据
博白,35.0,50.153333333333336,62.8,60,'万',暂无数据
博罗,16.0,19.62,22.0,60,'万',暂无数据
宝应县,26.0,42.26833333333334,48.0,60,'万',暂无数据
博兴,40.0,72.73666666666666,98.0,60,'万',暂无数据
成都,12.0,20.601666666666667,23.0,60,'万',14418
重庆,9.0,16.011333333333333,18.6,60,'万',12329
长沙,26.8,33.17966666666665,36.28,60,'万',10439
常州,35.0,42.24533333333333,45.0,60,'万',15611
长春,17.0,22.133666666666663,24.0,60,'万',9553
沧州,23.0,35.434999999999995,40.0,60,'万',10531
昌吉,13.0,19.775,22.0,60,'万',6091
赤峰,20.0,31.688333333333333,35.0,60,'万',8953
常德,15.0,23.828333333333315,27.8,60,'万',6530
郴州,7.0,27.894666666666648,31.8,60,'万',6292
承德,22.0,34.075,40.0,60,'万',9683
长治,15.0,30.65,38.0,60,'万',9418
池州,18.9,32.26,38.0,60,'万',9250
滁州,5.0,21.21633333333333,23.0,60,'万',7278
朝阳,10.0,16.774999999999995,19.0,60,'万',4970
潮州,13.8,18.257999999999996,21.8,60,'万',6236
楚雄,12.8,25.99333333333332,31.6,60,'万',5703
巢湖,20.0,37.28333333333333,42.0,60,'万',9484
昌都,40.0,80.83333333333333,150.0,6,'万',暂无数据
长葛,15.0,30.666666666666668,38.0,60,'万',4775
崇左,23.8,34.72,39.0,60,'万',5095
https://changshushi.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
赤壁,13.8,23.39966666666667,28.0,60,'万',暂无数据
岑溪,27.0,42.93,62.0,60,'万',暂无数据
慈溪,57.0,66.50466666666667,70.0,60,'万',暂无数据
https://chongzhou.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
慈利,39.8,53.93166666666671,63.8,60,'万',暂无数据
长岭,24.8,32.74893617021275,40.8,47,'万',暂无数据
长兴,25.0,40.910000000000004,44.0,60,'万',暂无数据
苍南,32.0,52.31000000000002,60.0,60,'万',暂无数据
曹县,25.0,41.34166666666667,47.0,60,'万',暂无数据
长垣,48.0,76.38000000000001,92.0,60,'万',暂无数据
长垣,48.0,76.38000000000001,92.0,60,'万',暂无数据
沧县,31.0,45.93899999999999,55.0,60,'万',暂无数据
长宁,25.8,33.989999999999974,38.8,60,'万',暂无数据
磁县,22.0,42.083333333333336,54.0,60,'万',暂无数据
茌平,31.8,46.73,54.0,60,'万',暂无数据
大连,20.0,26.351666666666663,28.5,60,'万',15813
东莞,19.0,27.426666666666666,30.0,60,'万',19569
德阳,18.0,22.999333333333325,25.0,60,'万',6149
大理,23.0,46.03200000000001,55.0,60,'万',12817
德州,19.0,25.371333333333332,30.0,60,'万',9165
东营,11.0,20.163333333333334,23.0,60,'万',8182
大庆,6.0,8.933389830508476,11.5,59,'万',5107
丹东,18.0,22.65383333333333,25.0,60,'万',6985
大同,9.5,14.259999999999998,16.5,60,'万',6347
达州,15.6,23.233333333333327,25.8,60,'万',6436
大丰,28.0,35.78333333333333,42.8,60,'万',8965
德宏,21.0,36.216666666666654,41.0,60,'万',7258
定州,31.0,45.69466666666666,51.0,60,'万',7259
迪庆,41.0,189.04,450.0,25,'万',4933
定西,26.0,36.70666666666666,39.0,60,'万',6150
大兴安岭,9.0,24.12066666666667,46.0,60,'万',2994
东台,38.2,61.196666666666715,69.8,60,'万',暂无数据
邓州,18.0,29.981833333333327,35.0,60,'万',暂无数据
东方,71.0,108.71739130434783,208.0,23,'万',暂无数据
儋州,60.0,141.4,610.0,45,'万',暂无数据
丹阳,40.8,47.870000000000005,52.8,60,'万',暂无数据
灯塔,53.0,39.730000000000004,79.0,60,'万',暂无数据
敦煌,36.8,60.8235294117647,90.0,17,'万',暂无数据
敦煌,36.8,60.8235294117647,90.0,17,'万',暂无数据
敦煌,36.8,60.8235294117647,90.0,17,'万',暂无数据
东阳,42.0,66.76633333333334,72.0,60,'万',暂无数据
https://dujiangyan.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
东至,23.0,50.79666666666667,62.0,60,'万',暂无数据
德清,45.0,55.54333333333333,60.0,60,'万',暂无数据
东海,33.0,55.308333333333366,67.8,60,'万',暂无数据
单县,13.8,31.52166666666667,39.0,60,'万',暂无数据
凤城,20.0,25.951666666666664,29.0,60,'万',暂无数据
禹城,28.0,41.491,48.0,60,'万',暂无数据
大竹,21.8,29.03999999999999,33.0,60,'万',暂无数据
定边,52.5,69.738,118.88,10,'万',暂无数据
东明,24.1,43.63233333333333,54.0,60,'万',暂无数据
东平,24.0,56.336666666666666,68.0,60,'万',暂无数据
大悟,24.0,51.82142857142857,96.0,28,'万',暂无数据
鄂尔多斯,94.0,97.79166666666667,280.0,60,'万',7686
恩施,0.72,30.067666666666657,35.0,60,'万',6441
鄂州,17.0,19.936666666666667,22.8,60,'万',5837
https://enping.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
https://emeishan.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
佛山,22.0,25.3635,27.0,60,'万',13565
福州,32.0,33.943333333333335,35.5,60,'万',24083
阜阳,19.0,26.711666666666662,30.0,60,'万',7371
抚顺,8.0,12.936666666666667,15.0,60,'万',4950
阜新,4.8,8.901333333333332,11.0,60,'万',3951
抚州,21.0,37.809999999999995,41.8,60,'万',8162
防城港,17.0,23.910000000000004,27.93,60,'万',5352
肥城,14.0,25.404999999999994,31.0,60,'万',暂无数据
丰城,28.0,53.220000000000006,60.0,60,'万',暂无数据
https://fuqing.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
福安,32.0,73.96333333333332,285.0,60,'万',暂无数据
福鼎,48.0,61.52000000000001,70.0,60,'万',暂无数据
范县,25.0,59.47333333333333,118.5,30,'万',暂无数据
分宜,36.0,56.48133333333333,70.0,60,'万',暂无数据
扶余,15.0,35.882857142857134,66.6,35,'万',暂无数据
阜宁,19.8,27.319999999999983,30.0,60,'万',暂无数据
浮梁,26.0,50.97466666666667,58.0,60,'万',暂无数据
府谷,43.0,159.26,215.0,10,'万',暂无数据
广州,26.0,32.204,35.0,60,'万',35235
贵阳,14.5,28.953333333333326,33.8,60,'万',8760
桂林,19.0,26.824999999999992,29.0,60,'万',6477
赣州,25.0,36.403333333333336,39.8,60,'万',9255
广安,13.8,22.664999999999996,25.0,60,'万',5742
贵港,23.0,32.525,36.0,60,'万',5644
广元,9.9,30.881666666666668,36.0,60,'万',6994
甘孜,51.0,64.25,70.0,60,'万',暂无数据
甘南,46.0,46.0,46.0,1,'万',暂无数据
馆陶,70.0,77.33333333333333,88.0,3,'万',暂无数据
https://guoluo.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
固原,19.0,28.273333333333333,34.0,60,'万',4886
公主岭,11.5,29.53666666666667,39.5,60,'万',暂无数据
https://gaoyou.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
高密,21.0,31.051666666666666,34.0,60,'万',暂无数据
格尔木,20.5,28.625,32.0,60,'万',暂无数据
广汉,19.0,24.763833333333324,27.0,60,'万',暂无数据
桂平,29.0,40.82399999999999,46.0,60,'万',暂无数据
高安,35.0,51.43666666666668,60.0,60,'万',暂无数据
https://gaobeidian.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
固始,13.0,23.89166666666666,28.0,60,'万',暂无数据
桂阳,17.0,36.68833333333331,45.8,60,'万',暂无数据
高平,29.0,40.05,45.0,60,'万',暂无数据
广饶,23.0,44.22816666666667,51.0,60,'万',暂无数据
灌云,26.0,41.80333333333333,45.0,60,'万',暂无数据
灌南,21.0,36.587999999999994,39.0,60,'万',暂无数据
固安,47.0,49.18416666666667,51.0,60,'万',暂无数据
谷城,16.0,33.42666666666666,38.0,60,'万',暂无数据
高唐,35.0,46.281666666666666,53.0,60,'万',暂无数据
冠县,30.0,77.4,100.0,60,'万',暂无数据
https://gaizexian.anjuke.com/sale/o4/?from=sugg&areas=70_2147483647,Error,Error,Error,Error,Error,Error
杭州,18.0,22.392333333333337,25.0,60,'万',31487
