Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
双鸭山,https://shuangyashan.anjuke.com/,-1,110,30000,2798.366667,60,9,400,94.02166667,60,7.8,15.98,12.50133333,1066,2226,1632.616667
肇东,https://shzhaodong.anjuke.com/,-1,317,12000,1421.580645,62,30,115,70.43870968,60,9.5,16.3,13.775,1358,2190,1775.483333
安达,https://shanda.anjuke.com/,-1,450,13800,5417.166667,60,35.4,125,76.71,60,8.5,18.9,14.63083333,1014,2600,1824.6
铜川,https://tongchuan.anjuke.com/,-1,350,12000,1382.262295,61,50,144.6,93.54590164,60,3,16.5,14.095,345,2329,1833.9
乳山市,https://rushanshi.anjuke.com/,-1,400,40000,1713.521127,71,35,240,83.44366197,60,9,15.5,14.18666667,1268,2143,1850.683333
七台河,https://qitaihe.anjuke.com/,-1,260,7000,2046,15,40,127.4,71.91333333,60,6,18.8,15.06466667,834,2626,1929.783333
伊春,https://yichunshi.anjuke.com/,-1,400,15000,2899.241935,62,24,96.1,62.65322581,60,9.8,19,15.16333333,1148,2643,1943.016667
黑河,https://heihe.anjuke.com/,-1,500,16000,5659.514706,68,28,145,72.73676471,60,10,18,15.45666667,1011,2500,1963.666667
吴忠,https://wuzhong.anjuke.com/,-1,300,14000,1204.166667,60,50,163,86.56833333,60,7,20,16.8185,776,2858,2007.133333
阿克苏,https://akesu.anjuke.com/,-1,958,16000,2558.438356,73,30,133,85,60,13,21,18.62166667,1273,2958,2065.283333
固始,https://gushixian.anjuke.com/,-1,200,2000,903.8833333,60,30,180,93,60,12.5,26.6,23.37666667,1567,3715,2181.15
仙桃,https://xiantao.anjuke.com/,-1,500,7000,1546.207792,77,30,330,85.71428571,60,6,23,18.44966667,770,3286,2181.283333
沈阳,https://sy.anjuke.com/,-1,680,1000,940.4833333,60,35,94,65.12833333,60,10,19,16.67,994,2715,2213.216667
辽中,https://sy.anjuke.com/,-1,680,1000,940.4833333,60,35,94,65.31166667,60,10,19,16.67,994,2715,2213.216667
新民,https://sy.anjuke.com/,-1,680,1000,940.4833333,60,35,94,65.31166667,60,10,19,16.67,994,2715,2213.216667
