Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
鞍山,https://anshan.anjuke.com/,4731,INIT,INIT,INIT,INIT,INIT,INIT,INIT,59,0.1,14.0,11.996610169491518,12,1972,1606.8135593220338
安阳,https://anyang.anjuke.com/,6250,360,2500,1318.9885057471265,87,30.0,175.0,94.0390804597701,60,21.0,27.0,25.256666666666664,2136,3858,3406.2
安庆,https://anqing.anjuke.com/,8546,550,1500,1160.55,60,45.0,100.0,77.93333333333335,60,15.0,28.0,25.01833333333333,1403,3685,2988.7166666666667
安康,https://ankang.anjuke.com/,5292,700,1500,1265.6333333333334,60,53.0,110.0,89.91666666666667,60,11.5,27.0,24.168333333333333,1534,3858,3219.016666666667
安顺,https://anshun.anjuke.com/,5185,600,1800,1164.3255813953488,43,50.0,120.0,72.11627906976744,60,13.0,25.0,21.904999999999994,1624,3572,2835.3166666666666
阿坝,https://aba.anjuke.com/,-1,980,10000,4695.0,4,68.0,700.0,341.25,33,39.0,150.0,92.88,4235,12778,8048.212121212121
阿克苏,https://akesu.anjuke.com/,-1,958,16000,2558.4383561643835,73,30.0,133.0,85.0,60,13.0,21.0,18.621666666666666,1273,2958,2065.2833333333333
阿里,https://ali.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
阿拉尔,https://alaer.anjuke.com/,-1,700,14000,6173.6,5,84.0,105.0,93.0,19,26.0,46.0,40.32631578947369,2688,4681,3936.0526315789475
阿拉善盟,https://alashanmeng.anjuke.com/,-1,450,15000,2202.7027027027025,37,25.0,130.0,94.38648648648649,54,24.0,450000.0,8378.42962962963,2331,45941808,854620.5370370371
安丘,https://anqiu.anjuke.com/,-1,260,10000,1028.2089552238806,67,45.0,240.0,86.38805970149254,60,18.8,26.0,23.83499999999999,2297,3686,3086.883333333333
安宁,https://anning.anjuke.com/,-1,800,1400,1119.1666666666667,60,50.0,105.0,75.31,60,21.0,33.0,26.84666666666666,2917,4648,3709.0666666666666
安吉县,https://anjixian.anjuke.com/,-1,1000,5500,2338.28125,64,22.0,300.0,88.165625,60,32.0,65.0,57.19666666666667,3596,9000,6710.483333333334
安溪,https://anxi.anjuke.com/,-1,900,3600,2134.935483870968,62,27.0,200.0,83.19354838709677,60,60.0,96.0,89.19333333333334,6830,12821,9907.15
林州,https://aylinzhou.anjuke.com/,-1,150,15000,1585.8333333333333,60,20.0,166.0,87.16166666666666,60,22.0,43.5,36.82166666666667,2136,4942,3481.45
安岳,https://anyuexian.anjuke.com/,-1,500,1700,1055.861111111111,72,38.0,145.0,88.13888888888889,60,20.8,31.8,28.326333333333324,2338,4143,3342.483333333333
阿勒泰,https://aletai.anjuke.com/,-1,900,5000,1766.6666666666667,24,63.0,160.0,102.84166666666668,60,25.0,43.0,35.83833333333333,2683,5375,4057.85
北京,https://beijing.anjuke.com/,57973,1000,2100,1808.1166666666666,60,47.0,114.0,75.88333333333334,60,20.0,21.0,20.11,2531,2889,2717.383333333333
保定,https://baoding.anjuke.com/,10151,500,3100,1563.6,60,53.0,107.0,87.78999999999999,60,21.0,36.0,33.825,2500,5143,4043.133333333333
包头,https://baotou.anjuke.com/,8142,300,3000,1272.268817204301,93,20.0,168.0,76.94086021505377,60,13.5,27.0,23.996666666666666,1468,3730,3019.05
滨州,https://binzhou.anjuke.com/,7958,300,8000,1258.8275862068965,87,30.0,310.0,105.25057471264367,60,19.0,28.0,26.05333333333333,2091,3972,3175.9
宝鸡,https://baoji.anjuke.com/,5289,400,1600,1129.5,60,40.0,110.0,85.23333333333332,60,15.5,19.5,18.026666666666664,2134,2743,2469.55
蚌埠,https://bengbu.anjuke.com/,7344,400,1500,1105.1666666666667,60,58.0,120.0,83.15333333333334,60,18.8,27.9,24.053333333333335,2363,3972,3035.2
本溪,https://benxi.anjuke.com/,5400,320,3500,1377.7333333333333,75,27.0,215.0,69.57866666666668,60,5.0,15.5,12.978333333333333,674,2153,1719.1833333333334
北海,https://beihai.anjuke.com/,6451,320,3500,1072.5232558139535,86,18.0,550.0,84.56162790697674,60,21.0,29.9,27.72166666666666,2449,4198,3565.5333333333333
巴音郭楞,https://bayinguoleng.anjuke.com/,4061,550,3000,1361.958904109589,73,45.0,270.0,91.71917808219179,60,14.0,17.8,16.63166666666666,1556,2543,2171.616666666667
巴中,https://bazhong.anjuke.com/,4849,300,15000,1305.0632911392406,79,20.0,200.0,91.27721518987342,60,14.0,23.0,20.461666666666666,1643,2879,2316.05
巴彦淖尔市,https://bayannaoer.anjuke.com/,5503,375,21500,3304.492957746479,71,20.0,132.0,82.21830985915493,60,10.0,19.0,16.923166666666667,1112,2572,2059.4166666666665
亳州,https://bozhou.anjuke.com/,6324,480,14000,1364.270588235294,85,20.0,139.0,98.07176470588236,60,18.0,29.0,25.422666666666668,1800,4000,2873.35
白银,https://baiyin.anjuke.com/,5702,700,10000,1390.7011494252874,87,40.0,122.0,77.90344827586208,60,23.0,30.0,27.836666666666655,2552,4258,3665.9333333333334
白城,https://baicheng.anjuke.com/,4860,600,18880,2529.4333333333334,60,33.0,132.0,57.95666666666667,60,13.0,18.5,16.621666666666666,1667,2643,2150.2
百色,https://baise.anjuke.com/,-1,480,28000,2188.8333333333335,60,12.0,600.0,98.015,60,20.0,30.0,26.764999999999997,1954,4143,3110.2833333333333
白山,https://baishan.anjuke.com/,-1,400,3500,916.3333333333334,60,30.0,180.0,68.815,60,10.5,22.0,19.195833333333333,1443,3143,2485.366666666667
博尔塔拉,https://boertala.anjuke.com/,-1,700,12000,1312.704918032787,61,35.0,150.0,86.90163934426229,60,12.0,20.0,17.91166666666667,1264,2858,2334.0666666666666
毕节,https://bijie.anjuke.com/,-1,400,13800,1763.5274725274726,91,20.0,150.0,94.42307692307692,60,19.8,24.8,22.613666666666656,2106,3500,2833.866666666667
保山,https://baoshan.anjuke.com/,-1,600,16666,2186.9142857142856,70,35.0,536.0,115.77857142857141,60,22.0,32.6,27.863333333333333,2877,4367,3361.45
霸州,https://bazh.anjuke.com/,-1,460,20000,1537.3333333333333,60,40.0,160.0,102.38333333333334,60,18.0,23.0,21.7145,2499,3215,2770.0
北票,https://beipiao.anjuke.com/,-1,450,11000,4057.3529411764707,34,30.0,250.0,67.92058823529412,60,10.0,24.5,20.34333333333333,1429,3500,2634.1
北流,https://beiliu.anjuke.com/,-1,450,2500,1268.3076923076924,65,20.0,164.0,81.24615384615385,60,29.0,51.8,44.259333333333345,3000,6494,4436.833333333333
博白,https://bobaixian.anjuke.com/,-1,400,2500,1228.0,20,35.0,160.0,103.05,50,36.0,88.0,61.001999999999995,3339,6087,4727.46
博罗,https://boluoxian.anjuke.com/,-1,700,1300,1085.1666666666667,60,32.0,99.0,70.10666666666665,60,18.0,22.0,20.506666666666668,2167,2934,2557.4166666666665
宝应县,https://baoyingxian.anjuke.com/,-1,550,16800,1806.3833333333334,60,28.0,210.0,88.41666666666667,60,26.0,49.8,43.413333333333334,2796,6685,5144.616666666667
博兴,https://boxingxian.anjuke.com/,-1,200,16000,1912.9,30,20.0,176.0,91.09333333333332,60,25.6,65.0,54.52166666666667,3600,8286,5998.933333333333
成都,https://chengdu.anjuke.com/,-1,800,1400,1230.9833333333333,60,37.0,100.0,72.52166666666668,60,16.8,24.0,21.57833333333333,2240,3381,2777.8166666666666
重庆,https://chongqing.anjuke.com/,11320,INIT,INIT,INIT,INIT,INIT,INIT,INIT,60,13.8,18.8,16.881666666666657,1389,2686,2089.866666666667
长沙,https://cs.anjuke.com/,10045,680,1480,1333.7833333333333,60,46.0,102.0,78.97,60,24.8,36.8,32.527999999999984,2755,5026,3871.1
常州,https://cz.anjuke.com/,14767,1000,1800,1549.3666666666666,60,45.0,95.0,71.425,60,35.0,45.0,42.90999999999998,4300,6258,5502.35
长春,https://cc.anjuke.com/,-1,550,1350,1237.1666666666667,60,50.0,96.0,72.91,60,17.0,24.0,22.10533333333333,2000,3429,2828.3
