City Name,Average Money
鞍山,4731
安阳,6250
安庆,8546
安康,5292
安顺,5185
阿坝,None
阿克苏,None
阿里,None
阿拉尔,None
阿拉善盟,None
安丘,None
安宁,None
安吉县,None
安溪,None
林州,None
安岳,None
阿勒泰,None
北京,57973
保定,None
包头,8142
滨州,7958
宝鸡,5289
蚌埠,7344
本溪,5400
北海,6451
巴音郭楞,4061
巴中,4849
巴彦淖尔市,5503
亳州,6324
白银,5702
白城,4860
百色,None
白山,None
博尔塔拉,None
毕节,None
保山,None
霸州,None
北票,None
北流,None
博白,None
博罗,None
宝应县,None
博兴,None
成都,13464
重庆,11320
长沙,10045
常州,14767
长春,None
沧州,10735
昌吉,6010
赤峰,9818
常德,6842
郴州,6363
承德,10177
长治,9165
池州,8997
滁州,None
朝阳,4766
潮州,5948
楚雄,5639
巢湖,14215
昌都,None
长葛,None
崇左,None
常熟,None
赤壁,None
岑溪,None
慈溪,None
崇州,None
慈利,None
长岭,None
长兴,None
苍南县,None
曹县,None
长垣县,None
昌乐,None
沧县,None
长宁,None
磁县,None
茌平,None
大连,14975
东莞,None
德阳,5975
大理,12727
德州,9003
东营,8179
大庆,5337
丹东,7036
大同,6347
达州,6852
大丰,None
德宏,None
定州,None
迪庆,None
定西,None
大兴安岭,None
东台,None
邓州,None
东方,None
儋州,None
丹阳,None
灯塔,None
敦煌,None
大冶,None
都匀,None
东阳,None
都江堰,None
东至,None
德清,None
东海,None
单县,None
凤城,None
禹城,None
大竹,None
定边,None
东明,None
东平,None
大悟,None
鄂尔多斯,7351
恩施,6316
鄂州,5747
恩平,None
峨眉山,None
佛山,13117
福州,23754
阜阳,7915
抚顺,5002
阜新,4082
抚州,8068
防城港,None
肥城市,None
丰城,None
福清,None
福安,None
福鼎,None
范县,None
分宜,None
扶余,None
阜宁,None
浮梁,None
府谷,None
广州,31565
贵阳,8882
桂林,6710
赣州,8488
广安,5907
贵港,6177
广元,6953
甘孜,None
甘南,None
馆陶,None
果洛,None
固原,None
公主岭市,None
高邮,None
高密市,None
格尔木,None
广汉,None
桂平,None
高安,None
高碑店,None
固始,None
桂阳,None
高平,None
广饶县,None
灌云县,None
灌南县,None
固安,None
