Number of House,City Name,Average Money
12,合肥,500.0
65,芜湖,467.6666666666667
35,马鞍山,490.0
103,安庆,483.3333333333333
0,北京,0
0,重庆,0
11,福州,449.09090909090907
0,厦门,0
46,泉州,481.8333333333333
26,漳州,490.38461538461536
0,广州,0
0,深圳,0
17,珠海,494.11764705882354
6,佛山,500.0
5,江门,460.0
2,湛江,500.0
1,惠州,500.0
0,东莞,0
49,中山,480.0
8,清远,493.75
2,南宁,500.0
3,柳州,500.0
47,桂林,485.3333333333333
6,北海,475.0
4,防城港,487.5
15,贵阳,490.0
16,遵义,476.25
1,兰州,500.0
0,天水,0
33,石家庄,500.0
26,唐山,486.53846153846155
7,邯郸,478.57142857142856
35,保定,450.53333333333336
157,廊坊,486.6666666666667
22,张家口,442.59090909090907
23,哈尔滨,483.9130434782609
1,郑州,500.0
92,开封,462.0
80,洛阳,466.3333333333333
99,新乡,491.6666666666667
64,许昌,481.6666666666667
0,信阳 ,0
88,周口,449.93333333333334
4,驻马店,475.0
0,武汉,0
38,黄石,466.0
14,宜昌,459.2857142857143
18,襄阳,450.0
19,鄂州,428.94736842105266
0,黄冈,0
11,长沙,486.3636363636364
20,株洲,467.5
2,衡阳,500.0
20,岳阳,447.0
2,常德,500.0
0,海口,0
0,三亚,0
0,澄迈,0
23,长春,473.9130434782609
2,吉林,500.0
0,南京,0
1,无锡,500.0
10,徐州,498.0
4,常州,412.5
0,苏州,0
0,昆山,0
24,南通,488.75
1,连云港,416.0
21,淮安,479.5238095238095
1,盐城,500.0
65,镇江,491.0
0,海门,0
1,启东,500.0
2,如皋,500.0
2,海安,500.0
0,南昌,0
34,九江,486.0
8,赣州,487.5
18,吉安,427.22222222222223
1,宜春,500.0
23,上饶,467.82608695652175
88,沈阳,500.0
7,大连,500.0
1,抚顺,500.0
9,丹东,477.77777777777777
13,呼和浩特,496.0769230769231
51,包头,470.0
32,赤峰市,473.3333333333333
156,银川,452.06666666666666
0,太原,0
0,大同,0
0,上海,0
0,济南,0
2,青岛,500.0
35,淄博,481.6666666666667
64,烟台,474.96666666666664
48,潍坊,492.0
20,济宁,470.0
12,泰安,483.3333333333333
5,威海,430.0
191,临沂,454.0
11,菏泽,445.45454545454544
8,成都,487.5
3,泸州,500.0
58,绵阳,442.6666666666667
125,遂宁,449.9
1,内江,400.0
57,南充,468.1
14,眉山,453.57142857142856
2,宜宾,500.0
8,达州,453.75
13,雅安,471.53846153846155
0,巴中,0
7,凉山,471.42857142857144
111,乐山 ,459.23333333333335
7,广元,435.7142857142857
0,西安,0
52,宝鸡,481.6666666666667
13,咸阳,489.2307692307692
42,汉中,474.53333333333336
105,天津,496.6666666666667
1,乌鲁木齐,500.0
0,昆明,0
2,大理,500.0
0,杭州,0
0,宁波,0
0,温州,0
10,嘉兴,500.0
4,湖州,500.0
2,绍兴,500.0
0,金华,0
1,台州,500.0
